1V1	CC(=O)C
2O2	CCOCC
Q2Q	OCCO
WN1O1NW	[O-][N+](=O)COC[N+](=O)[O-]
Z3Z	NCCCN
QV3VQ	OC(=O)CCCC(=O)O
ZV2VZ	NC(=O)CCC(=O)N
ZVM1MVZ	NC(=O)NCNC(=O)N
3O2	CCCOCC
QV1	OC(=O)C
2M1	CCNC
Z2VQ	NCCC(=O)O
2VO2	CCC(=O)OCC
1SVM1	CSC(=O)NC
1VOV1	CC(=O)OC(=O)C
Q2G	OCCCl
3M2	CCCNCC
Z2E	NCCBr
QV4	OC(=O)CCCC
E2E	BrCCBr
ZQ	NO
ZH	N
QH	O
IH	I
QV1G	OC(=O)CCl
ZV2M1VQ	NC(=O)CCNCC(=O)O
2OVM1VO2	CCOC(=O)NCC(=O)OCC
12VM1	CCCCCCCCCCCCC(=O)NC
G1OS2S2	ClCOSCCSCC
QNU3	ON=CCC
2U2U1	CC=CC=C
MU2O1	N=CCOC	
ZVMNU2	NC(=O)NN=CC
SU3	S=CCC
1UU1	C#C
3UU2	CCC#CC
G1UU2	ClC#CC
G1UU1G	ClC#CCl
1NU1UN1	CN=C=NC
1U1U1	C=C=C
OCO	O=C=O
NCH	N#C
QNO	ON=O
WNQ	[O-][N+](=O)O
ONONO	O=NON=O
NNU1	NN=C
2CN	CCC#N
2OCN	CCOC#N
2NCO	CCN=C=O	
SCN3	S=C=NCCC
NCS3	N#CSCCC
OC2	O=C=CC
GH	Cl
EH	Br
2H	CC
10H	CCCCCCCCCC
VHVH	C(=O)C=O
VH3	C(=O)CCC
SH2Q	SCCO
SH2G	SCCCl
SH1M2	SCNCC
2Y2	CCC(CC)C
GXGGG	ClC(Cl)(Cl)Cl
G2N2&3	ClCCN(CC)CCC
2OPO&O2	CCOP(=O)OCC
Q1XGG2Y1Q1Z	OCC(Cl)(Cl)CCC(CO)CN
1S2YZVMYVQS1	CSCCC(N)C(=O)NC(C(=O)O)SC
W-G-QO	O=[Cl](=O)(O)[O-]
F-G-FF	F[Cl](F)F
12SW12	CCCCCCCCCCCCS(=O)(=O)CCCCCCCCCCCC
WS2&12	O=S(=O)(CC)CCCCCCCCCCCC
QVY9&19	OC(=O)C(CCCCCCCCC)CCCCCCCCCCCCCCCCCCC
12M1	CCCCCCCCCCCCNC
12N3&2	CCCCCCCCCCCCN(CCC)CC
19YQM1	CCCCCCCCCCCCCCCCCCCC(O)NC
QVY19&2Q	OC(=O)C(CCCCCCCCCCCCCCCCCCC)CCO
G1XGGYP3&3&&P2&2	ClCC(Cl)(Cl)C(P(CCC)CCC)P(CC)CC
OK2&2&2	[O-][N+](CC)(CC)CC
WSQO1	O=S(=O)(O)OC
2B2&2	CCB(CC)CC
ZXZUS	NC(=S)N
ZSW2	NS(=O)(=O)CC
QVYZY2&2	OC(=O)C(N)C(CC)CC
QY	OC(C)C
1Y&N1&1	CC(C)N(C)C
2OVX	CCOC(=O)C(C)(C)C
QY&1X&&1Y	OC(C)CC(C)(C)CC(C)C
Z2X2&&2Y2	NCCC(CC)(C)CCC(CC)C
GXGG2NY&&Y	ClC(Cl)(Cl)CCN(C(C)C)C(C)C
2Y2&3YX&&&1VOY	CCC(CC)CCCC(C(C)(C)C)CC(=O)OC(C)C
1Y&N1VM1O1O1&Y	CC(C)N(CC(=O)NCOCOC)C(C)C
OV1 &-NA-	[O-]C(=O)C.[Na+]
SUXS&O4 &-KA-	S=C(S)OCCCC.[K+]
ZVSH &ZV1Z	NC(=O)S.NC(=O)CN
Z6Z &Q2 &Q2	NCCCCCCN.OCC.OCC
Z3Z &QH &QH	NCCCN.O.O
QV2 &ZH	OC(=O)CC.N
WSQ2G &ZH	O=S(=O)(O)CCCl.N
3M3 &WSQQ	CCCNCCC.O=S(=O)(O)O
4N4&4 &GH	CCCCN(CCCC)CCCC.Cl
Z3Z &GH &GH &QH &QH	NCCCN.Cl.Cl.O.O
QVVQ &ZH &ZH	OC(=O)C(=O)O.N.N
1K &G	C[N+](C)(C)C.[Cl-]
G2S2G2G &G	ClCCS(CCCl)CCCl.[Cl-]
G2KO&2&2G &GH	ClCC[N+]([O-])(CC)CCCl.Cl
OV1 &OV1 &-CA-	[O-]C(=O)C.[O-]C(=O)C.[Ca+2]
1R	Cc1ccccc1
GV1N2&R	ClC(=O)CN(CC)c1ccccc1
QY2&XQR&R	OC(CC)C(O)(c1ccccc1)c1ccccc1
RM1R	c1(ccccc1)NCc1ccccc1
WNR CVM1VQ	[O-][N+](=O)c1cc(ccc1)C(=O)NCC(=O)O
Z1YQR DO1	NCC(O)c1ccc(cc1)OC
QVR BNUNR DN1&1	OC(=O)c1c(cccc1)N=Nc1ccc(cc1)N(C)C
2N2&R COVMR DO1	CCN(CC)c1cc(ccc1)OC(=O)Nc1ccc(cc1)OC
WNR DMNU1R CNW	[O-][N+](=O)c1ccc(cc1)NN=Cc1cc(ccc1)[N+](=O)[O-]
WNR BMNU1R CNW	[O-][N+](=O)c1c(cccc1)NN=Cc1cc(ccc1)[N+](=O)[O-]
WNR CMNU1R BNW	[O-][N+](=O)c1cc(ccc1)NN=Cc1c(cccc1)[N+](=O)[O-]
WNR DMNU1R DNW	[O-][N+](=O)c1ccc(cc1)NN=Cc1ccc(cc1)[N+](=O)[O-]
ZSWR DSZW	NS(=O)(=O)c1ccc(cc1)S(=O)(=O)N
ZMR CG	NNc1cc(ccc1)Cl
QMR BE	ONc1c(cccc1)Br
VHR CSH	C(=O)c1cc(ccc1)S
SHR DVQ	Sc1ccc(cc1)C(=O)O
QV1N1VQR BVQ	OC(=O)CN(CC(=O)O)c1c(cccc1)C(=O)O
ZSWR CN1O2&1O2	NS(=O)(=O)c1cc(ccc1)N(COCC)COCC
2O1N1O2&R B2O1	CCOCN(COCC)c1c(cccc1)CCOC
ZSWR D-AS-U-AS-R DSWQ	NS(=O)(=O)c1ccc(cc1)[As]=[As]c1ccc(cc1)S(=O)(=O)O
ZR BG DE	Nc1c(cc(cc1)Br)Cl
ZR CG BE	Nc1c(c(ccc1)Cl)Br
ZR BQ ENW	Nc1c(ccc(c1)[N+](=O)[O-])O
ZR BG EVQ	Nc1c(ccc(c1)C(=O)O)Cl
WNR CG FE DOV1	[O-][N+](=O)c1cc(c(cc1Br)OC(=O)C)Cl
3OR BF E2 CM1	CCCOc1c(c(cc(c1)CC)NC)F
1VOR CG EF BO1 DVO1	CC(=O)Oc1c(c(c(c(c1)F)C(=O)OC)Cl)OC
WNR BQ CNW ENW	[O-][N+](=O)c1c(c(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O
QVR BG FVQ	OC(=O)c1c(cccc1C(=O)O)Cl
WNR CNW DMNU2	[O-][N+](=O)c1cc(c(cc1)NN=CC)[N+](=O)[O-]
ZR C1U1R DZ	Nc1cc(ccc1)C=Cc1ccc(cc1)N
WNR CF DI E2U1	[O-][N+](=O)c1cc(c(c(c1)CC=C)I)F
QMR DQ CO1 EO1	ONc1cc(c(c(c1)OC)O)OC
Q-AS-QO&R BF CF EF	O[As](=O)(O)c1c(c(cc(c1)F)F)F
ZR BG EG CE FE	Nc1c(c(cc(c1Br)Cl)Br)Cl
SHR DE CV1	Sc1cc(c(cc1)Br)C(=O)C
VHR DG CVG E1G	C(=O)c1cc(c(c(c1)CCl)Cl)C(=O)Cl	
WSQR BO2 ESWQ	O=S(=O)(O)c1c(ccc(c1)S(=O)(=O)O)OCC
1N1&R CYR&R DN1&1	CN(C)c1cc(ccc1)C(c1ccccc1)c1ccc(cc1)N(C)C
GR DG BOR BO1 EO1	Clc1c(cc(cc1)Cl)Oc1c(ccc(c1)OC)OC
WNR DNW BR BG CNW	[O-][N+](=O)c1c(cc(cc1)[N+](=O)[O-])c1c(c(ccc1)[N+](=O)[O-])Cl
G1O1VR CO1O1G E1R CG DG	ClCOCC(=O)c1cc(cc(c1)Cc1cc(c(cc1)Cl)Cl)OCOCCl
GXGGR B1O1O1Q DXGGG	ClC(Cl)(Cl)c1c(cc(cc1)C(Cl)(Cl)Cl)COCOCO
WNR BR& ENW	[O-][N+](=O)c1c(ccc(c1)[N+](=O)[O-])c1ccccc1
1VOR BVR& EOV1	CC(=O)Oc1c(ccc(c1)OC(=O)C)C(=O)c1ccccc1	
G1OVR BR CQ& DVO1	ClCOC(=O)c1c(cc(cc1)C(=O)OC)c1cc(ccc1)O
WNR DNW BR CQ	[O-][N+](=O)c1c(cc(cc1)[N+](=O)[O-])c1cc(ccc1)O
RR BR BR DR&& ER CR	c1(ccccc1)c1c(cccc1)c1c(ccc(c1)c1cc(ccc1)c1ccccc1)c1ccc(cc1)c1ccccc1
ZR BYR DN&1NV1&V1	Nc1c(cccc1)C(c1ccc(cc1)N)CN(C(=O)C)C(=O)C
WNR BG EYR DZ CG&1N2Q2Q	[O-][N+](=O)c1c(ccc(c1)C(c1cc(c(cc1)N)Cl)CN(CCO)CCO)Cl
G1Y&M1VR CV1MR DG& DN1&1	ClCC(C)NCC(=O)c1cc(c(cc1)N(C)C)C(=O)CNc1ccc(cc1)Cl
T6NJ	n1ccccc1
L6V DVJ	C1(=O)C=CC(=O)C=C1
L6VVJ	C1(=O)C(=O)C=CC=C1
T5M CNJ	[nH]1cncc1
T6ON DMJ	O1N=CNC=C1
T6NSO ENJ	N1=CN=COS1
T6NSN EMJ	N1=CNC=NS1
T5NO DNJ	n1ocnc1
T7M CN ENJ	N1C=NC=NC=C1	
T5NS DS CHJ	N1=CSCS1
T6M CN CMTJ	N1CNNCC1
T5N CO EUTJ	N1=CCOC1
L6U CUTJ	C1=CC=CCC1
L5 AHJ	C1=CC=CC1
T5VOVTJ	C1(=O)OC(=O)CC1
T5NN CHJ	N1=NC=CC1
T6OV EUTJ	O1C(=O)CCC=C1
T6NJ CVQ DG	n1cc(c(cc1)Cl)C(=O)O
T5OJ BVH DVQ	o1c(cc(c1)C(=O)O)C=O
L5TJ AVQ AVQ B1 B1 CVQ	C1(C(C(CC1)C(=O)O)(C)C)(C(=O)O)C(=O)O	
T6NJ BVQ FG	n1c(cccc1Cl)C(=O)O		
T5MVNVTJ EVM1 EQ	N1C(=O)NC(=O)C1(C(=O)NC)O	
T6VMVMVJ F2 F2	C1(=O)NC(=O)NC(=O)C1(CC)CC	
T5UTJ A1 B1 C1 C1	C1(=C(C(CC1)(C)C)C)C	
L5UTJ A2 DVQ E1 E1	C1(=CCC(C1(C)C)C(=O)O)CC	
T5NTJ A1 C1 DR	N1(CC(C(C1)c1ccccc1)C)C
L6Y DYJ AUNQ DUNQ	C1(=NO)C=CC(=NO)C=C1	
L6Y BUTJ AUNMR& EG FG	C1(=NNc2ccccc2)C=CCC(C1Cl)Cl	
T5SWTJ	S1(=O)(=O)CCCC1
T5-AS-J	[As]1=CC=CC1	
T6 DUJ	C1=CC=C=C=C1	
T6P DUJ	P1=CC=C=C=C1	
T6P-KA- DUJ	P1=[K]C=C=C=C1	
T6S-SB-HS DHJ	S1[Sb]SCC=C1
T-10-M FOTJ	N1CCCCOCCCC1	
L6V BUTJ	C1(=O)C=CCCC1	
L6V BUTJ EG FG	C1(=O)C=CCC(C1Cl)Cl	
L5UTJ A1 DV1Q E1 E1	C1(=CCC(C1(C)C)C(=O)CO)C	
L5TJ AVQ A1 B1 B1 CVQ	C1(C(C(CC1)C(=O)O)(C)C)(C(=O)O)C	
T5NYMVJ A1 BUM E1R	N1(C(=N)NC(=O)C1Cc1ccccc1)C	
T5NYVOJ BU1Q E1R	N1=C(OC(=O)C1=CO)Cc1ccccc1
T5NNVYJ DUNR& E1	N1=NC(=O)C(=Nc2ccccc2)C1C
T6VMVNVJ D1 FMVZ	C1(=O)NC(=O)N(C(=O)C1NC(=O)N)C	
T6VOV EOTJ DR& FR	C1(=O)OC(=O)C(OC1c1ccccc1)c1ccccc1	
T6OPOTJ	O1POCCC1	
T6-SI- C-SI- E-SI-TJ	[Si]1C[Si]C[Si]C1	
L3TJ AO1	C1(CC1)OC	
T5NNV AHJ A1 BR DE& E1	n1(n(c(=O)cc1C)c1ccc(cc1)Br)C	
T5M CN BUTJ B1NR&1R	N1C(=NCC1)CN(c1ccccc1)Cc1ccccc1	
L7UUTJ	C1#CCCCCC1	
L6V BUTJ B1 EYU1	C1(=O)C(=CCC(C1)C(=C)C)C
L6UTJ C1 C1 DVQ D1	C1=CC(C(CC1)(C(=O)O)C)(C)C	
L6V DYJ BVQ DUNN	C1(=O)C(=CC(=NN)C=C1)C(=O)O	
T5OSOTJ BO	O1S(=O)OCC1
T5NNV EHJ BNO D1 E1	[nH]1n(c(=O)c(c1C)C)N=O
T5NYMV EHJ A1 BUM	N1(C(=N)NC(=O)C1)C	
T6OYOYOYTJ BUM DUM FUM	o1c(=N)oc(=N)oc1=N	
T6N CNJ BZ DZ ER DG& F2	n1c(nc(c(c1CC)c1ccc(cc1)Cl)N)N	
T6VMVMV FHJ F2 FR	C1(=O)NC(=O)NC(=O)C1(CC)c1ccccc1	
T6NJ C2Q E1Q &GH	n1cc(cc(c1)CO)CCO.Cl	
T6KJ A1R& COVN1&1 &E	[n+]1(cc(ccc1)OC(=O)N(C)C)Cc1ccccc1.[Br-]
T6N DNTJ AYR&R DG& D1 &GH &GH	N1(CCN(CC1)C)C(c1ccccc1)c1ccc(cc1)Cl.Cl.Cl	
T5K CSJ A1R BZ& E1 &GH &G	[n+]1(cscc1C)Cc1c(cccc1)N.Cl.[Cl-]
T6KJ AO	[n+]1(ccccc1)[O-]
L66TJ	C12CCCCC1CCCC2	
L66J	c12ccccc1cccc2	
T56 CMJ	[nH]1cc2c(c1)cccc2	
T56 BOJ	o1c2c(cc1)cccc2	
T55 AN DM FST&J &G	N12CCNC1SC=C2.[Cl-]
L56 BHJ	C12=CC=CC1=CC=CC2	
L66J CVQ	c12cc(ccc1cccc2)C(=O)O	
T56 BMJ HO1	[nH]1c2c(cc1)ccc(c2)OC	
L66J CVQ DG	c12cc(c(cc1cccc2)Cl)C(=O)O	
L56 CHJ B1 C1 C1	c12=C(C(C=c1cccc2)(C)C)C
T66 BN GNJ EVQ	n1c2c(nccc2)c(cc1)C(=O)O
T66 BN&TJ	n1c2c(ccc1)CCCC2
T66 BN BU DUTJ	N1=CC=CC2C1CCCC2	
T56 BN CH&TJ	N1=C2C(=CC1)CCCC2
T66 CM AU- FTJ	N1CC2=C(CC1)CCCC2	
T66 BN ES DHJ	N1=C2C(=CC=CC2)SC=C1
T66 BS DN BHJ	S1c2c(CN=C1)cccc2
T55 AK DM FST&J &G	[n+]12CCNc1scc2.[Cl-]
T55 AN CM GNT&J	n12CNCc1cnc2
T66 BSN EM&TJ	S1N=CNC2=C1CCCC2
T6-10- IM&TJ	N1CCc2c(cccc2)CCCCC1	
T55 CN GNJ BE	N1=CC2=CN=CC2=C1Br	
L66&TJ	c12ccccc1CCCC2	
L66J BQ EQ	c12c(ccc(c1cccc2)O)O	
L66&TJ GQ JG	c12ccccc1C(CCC2Cl)O	
T56 BO AU- E GUTJ	O1C2=C(CC1)CC=CC2
L B666J	c12c3ccccc3ccc1cccc2
L C666J	c12cc3ccccc3cc1cccc2
L D6 C6 B566 MNJ	N1=c2c(-c3c4ccccc4ccc13)c1c(=CC=CC1)cc2
T B566 DMJ	[nH]1cc2c3c(ccc2c1)cccc3	
T E6 C666 ANV&&TTJ	N12C(=O)c3cc4ccccc4cc3CC1CCCC2	
T C566 DMJ	[nH]1c2cc3c(cc2cc1)cccc3	
L B656 HVJ ENW KG	C1(=O)c2c(-c3c1cc(cc3)Cl)ccc(c2)[N+](=O)[O-]
T I5 F6 D6 C665 JO VOJ	o1c2ccc3cc4c5cc6c(occ6)cc5ccc4cc3c2cc1
T C666 BK ISJ B2N1&1	[N+]1(=C2C(=CC=CC2)Sc2c1cccc2)CCN(C)C
T C666 BNJ B2N1&1	N1(c2c(Cc3c1cccc3)cccc2)CCN(C)C
T C666 BKJ B1 EZ MZ &GH &G	[n+]1(c2c(cc3c1cc(cc3)N)ccc(c2)N)C.Cl.[Cl-]
L B5 G566J	c12c3C=CC=c3c3=CC=Cc3c1cccc2
T D6 B666 KN&TT&J	N12C(c3c(CC2)cccc3)Cc2ccccc2C1	
L E5 B666 OV MUTJ A1 E1	C1(=O)C=C2C(C3CCC4(CCCC4C3CC2)C)(CC1)C	
L C666 BV IVJ D1Q GQ KQ	C1(=O)c2c(C(=O)c3c1c(ccc3O)CO)c(ccc2)O	
L F6 E6 B666 BUTJ F1 IQ J1 J1 N1 O1 R1 U1 U1	C12C3=CCC4C5(CCC(C(C5CCC4(C3(CCC1(CCC(C2)(C)C)C)C)C)(C)C)O)C	
T C6 B566 LO&TT&J EQ FQ JQ OQ	O1CC2(C(c3c1cc(cc3)O)c1cc(c(cc1C2)O)O)O	
L566 1A LJ	c12c3C=Cc1cccc2ccc3	
